case_id,no_perkara,tanggal_putus,pengadilan,kategori,file_name,source_url
case_030,75/Pid.Sus/2026/PN Mlg,2026-04-29,PN MALANG,Narkotika dan Psikotropika,case_030.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14462c750caa69144313430343036.html
case_031,83/Pid.Sus/2026/PN Mlg,2026-04-29,PN MALANG,Narkotika dan Psikotropika,case_031.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14462c61debb48119313430343034.html
case_032,82/Pid.Sus/2026/PN Mlg,2026-04-29,PN MALANG,Narkotika dan Psikotropika,case_032.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf14462c371b6a288a4313430343030.html
case_033,34/Pid.Sus/2026/PN Mlg,2026-04-20,PN MALANG,Narkotika dan Psikotropika,case_033.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13eb682abb14c8250303834383232.html
case_034,35/Pid.Sus/2026/PN Mlg,2026-04-22,PN MALANG,Narkotika dan Psikotropika,case_034.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13eb6647127989018303834373331.html
case_035,53/Pid.Sus/2026/PN Mlg,2026-04-22,PN MALANG,Narkotika dan Psikotropika,case_035.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13eb663540740a14f303834373239.html
case_036,59/Pid.Sus/2026/PN Mlg,2026-04-22,PN MALANG,Narkotika dan Psikotropika,case_036.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13eb65dc1f620a18d303834373230.html
case_037,21/Pid.Sus/2026/PN Mlg,2026-04-22,PN MALANG,Narkotika dan Psikotropika,case_037.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13eb65539895aa9ee303834373036.html
case_038,68/Pid.Sus/2026/PN Mlg,2026-04-22,PN MALANG,Narkotika dan Psikotropika,case_038.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13eb651893a6c9f25303834363539.html
case_039,23/Pid.Sus/2026/PN Mlg,2026-04-15,PN MALANG,Narkotika dan Psikotropika,case_039.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13c9edec1a3c0bdb0313635343036.html
case_040,50/Pid.Sus/2026/PN Mlg,2026-04-13,PN MALANG,Narkotika dan Psikotropika,case_040.html,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaf13c9edb296ef0a806313635343030.html
